Brand,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024
Acura,"50,496","38,555","30,469","28,236","24,624","21,792","27,654","33,465","40,177","36,893","35,120","18,305"
Alfa Romeo,"5,019","4,530","4,056","3,288","3,084","3,439","3,032","2,390","2,310","2,890","3,307",0
Audi,"66,084","41,010","33,180","35,508","49,642","38,667","54,052","52,582","55,608","59,262","59,706",0
BMW,"96,561","75,620","93,033","73,712","78,903","78,029","100,899","81,877","87,942","83,954","107,881",0
Buick,"65,921","39,298","31,407","19,145","28,878","28,524","26,921","38,138","42,753","43,799","42,162",0
Cadillac,"23,858","34,697","22,380","28,216","33,684","33,669","39,138","36,320","38,877","35,639","36,379",0
Chevrolet,"431,583","286,257","287,136","342,619","383,816","371,415","415,025","397,118","452,678","450,912","401,992",0
Chrysler,"18,900","15,505","40,863","29,113","36,935","21,613","25,053","31,899","49,143","42,315","10,482",0
Dodge,"62,313","49,058","40,364","41,045","44,270","59,755","46,277","50,975","59,746","46,217","42,515",0
Fiat,892,400,267,340,252,209,118,138,142,145,177,0
Ford,"448,745","380,606","483,171","410,026","456,813","441,487","459,175","457,481","507,751","476,725","462,081","309,461"
Genesis,"11,076","15,022","15,301","11,723","13,945","15,131","15,399","13,704","17,210","19,427","18,457","8,874"
GMC,"153,026","97,257","100,917","121,438","132,057","120,512","143,656","130,608","156,019","142,769","134,296",0
Honda,"435,923","307,359","255,991","238,182","215,165","200,258","227,596","251,042","306,848","296,310","302,391","184,915"
Hyundai,"237,387","155,955","150,769","152,322","184,191","184,431","195,967","184,449","205,475","200,534","206,048","107,884"
Infiniti,"17,867","10,667","10,950","11,246","10,556","11,242","13,572","15,755","16,529","17,164","15,868",0
Jaguar,"4,883","3,121","5,097","2,816","1,950","2,359","2,543","2,584","1,785","1,674","2,305",0
Jeep,"210,439","186,685","174,045","193,283","186,662","161,348","143,320","153,530","181,288","154,620","151,728",0
Karma,0,0,0,90,0,45,13,130,32,37,0,0
Kia,"206,457","177,014","140,386","149,069","172,847","181,168","175,401","184,153","210,197","210,341","177,777","110,150"
Land Rover,"17,254","18,904","32,601","17,400","10,471","11,532","20,077","14,817","13,686","16,925","20,611",0
Lexus,"83,459","103,546","65,670","64,365","66,723","67,524","59,822","68,254","81,159","74,896","95,940","47,700"
Lincoln,"23,514","17,038","20,967","19,148","23,745","20,027","20,566","18,560","20,124","20,383","22,377","15,484"
Lucid,0,0,0,0,500,599,850,790,601,800,951,0
Mazda,"105,909","84,046","59,488","82,268","60,535","72,589","79,517","90,074","95,399","88,834","90,737","62,984"
Mercedes-Benz,"92,441","71,182","76,010","69,172","98,809","86,412","88,494","73,779","95,670","85,354",0,0
Mini,"9,340","6,444","13,100","6,875","5,129","7,177","10,319","7,283","7,585","7,901","10,728",0
Mitsubishi,"25,147","23,799","24,858","26,398","21,871","16,781","20,755","20,935","24,603","22,196","19,608",0
Nissan,"280,283","188,291","184,035","189,839","172,620","142,848","177,442","220,058","227,824","200,333","185,876",0
Polestar,0,0,0,260,"2,300","2,300","2,100","2,999","3,500","2,100","1,833",0
Porsche,"18,955","15,289","17,562","13,051","19,489","16,580","20,916","17,442","18,894","19,987","19,104",0
Ram,"187,750","144,741","151,917","138,153","137,873","139,295","129,874","128,722","142,014","134,378","134,363",0
Rivian,0,0,0,900,700,"6,099","6,000","4,201","12,601","19,400","11,001",0
Subaru,"160,824","156,222","121,008","132,346","131,449","137,320","155,466","143,376","160,713","163,131","164,863","91,699"
Tesla,"73,301","84,001","78,696","163,371","118,700","113,998","140,000","170,002","172,999","154,999",0,0
Toyota,"573,109","433,299","383,896","433,439","416,834","421,932","456,555","399,070","476,889","508,482","504,500","302,498"
Volkswagen,"113,624","79,314","85,338","64,991","77,289","86,079","22,302","67,851","76,933","87,755","96,486",0
Volvo,"36,525","31,611","28,049","22,696","27,828","21,631","29,822","26,483","33,267","32,375","36,576","17,506"
