Brand,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024
Acura,50496,38555,30469,28236,24624,21792,27654,33465,40177,36893,35120,18305
Alfa Romeo,5019,4530,4056,3288,3084,3439,3032,2390,2310,2890,3307,0
Audi,66084,41010,33180,35508,49642,38667,54052,52582,55608,59262,59706,0
BMW,96561,75620,93033,73712,78903,78029,100899,81877,87942,83954,107881,0
Buick,65921,39298,31407,19145,28878,28524,26921,38138,42753,43799,42162,0
Cadillac,23858,34697,22380,28216,33684,33669,39138,36320,38877,35639,36379,0
Chevrolet,431583,286257,287136,342619,383816,371415,415025,397118,452678,450912,401992,0
Chrysler,18900,15505,40863,29113,36935,21613,25053,31899,49143,42315,10482,0
Dodge,62313,49058,40364,41045,44270,59755,46277,50975,59746,46217,42515,0
Fiat,892,400,267,340,252,209,118,138,142,145,177,0
Ford,448745,380606,483171,410026,456813,441487,459175,457481,507751,476725,462081,309461
Genesis,11076,15022,15301,11723,13945,15131,15399,13704,17210,19427,18457,8874
GMC,153026,97257,100917,121438,132057,120512,143656,130608,156019,142769,134296,0
Honda,435923,307359,255991,238182,215165,200258,227596,251042,306848,296310,302391,184915
Hyundai,237387,155955,150769,152322,184191,184431,195967,184449,205475,200534,206048,107884
Infiniti,17867,10667,10950,11246,10556,11242,13572,15755,16529,17164,15868,0
Jaguar,4883,3121,5097,2816,1950,2359,2543,2584,1785,1674,2305,0
Jeep,210439,186685,174045,193283,186662,161348,143320,153530,181288,154620,151728,0
Karma,0,0,0,90,0,45,13,130,32,37,0,0
Kia,206457,177014,140386,149069,172847,181168,175401,184153,210197,210341,177777,110150
Land Rover,17254,18904,32601,17400,10471,11532,20077,14817,13686,16925,20611,0
Lexus,83459,103546,65670,64365,66723,67524,59822,68254,81159,74896,95940,47700
Lincoln,23514,17038,20967,19148,23745,20027,20566,18560,20124,20383,22377,15484
Lucid,0,0,0,0,500,599,850,790,601,800,951,0
Mazda,105909,84046,59488,82268,60535,72589,79517,90074,95399,88834,90737,62984
Mercedes-Benz,92441,71182,76010,69172,98809,86412,88494,73779,95670,85354,0,0
Mini,9340,6444,13100,6875,5129,7177,10319,7283,7585,7901,10728,0
Mitsubishi,25147,23799,24858,26398,21871,16781,20755,20935,24603,22196,19608,0
Nissan,280283,188291,184035,189839,172620,142848,177442,220058,227824,200333,185876,0
Polestar,0,0,0,260,2300,2300,2100,2999,3500,2100,1833,0
Porsche,18955,15289,17562,13051,19489,16580,20916,17442,18894,19987,19104,0
Ram,187750,144741,151917,138153,137873,139295,129874,128722,142014,134378,134363,0
Rivian,0,0,0,900,700,6099,6000,4201,12601,19400,11001,0
Subaru,160824,156222,121008,132346,131449,137320,155466,143376,160713,163131,164863,91699
Tesla,73301,84001,78696,163371,118700,113998,140000,170002,172999,154999,0,0
Toyota,573109,433299,383896,433439,416834,421932,456555,399070,476889,508482,504500,302498
Volkswagen,113624,79314,85338,64991,77289,86079,22302,67851,76933,87755,96486,0
Volvo,36525,31611,28049,22696,27828,21631,29822,26483,33267,32375,36576,17506
